common_name,type
"American Redstart","flight call"
"American Redstart","alarm call"
"American Yellow Warbler","flight call"
"Song Sparrow","flight call"
"Red-necked Phalarope","flight call"
"American Redstart","chip"
"Willet","gull-like call in flight"
"Short-billed Gull","long call"
"Song Sparrow","short takking calls"
"Prairie Warbler","flight call"
"American Robin","flight call"
"White-crowned Sparrow","flight call"
"Least Sandpiper","song"
"Red-necked Phalarope","prek"
"White-crowned Sparrow","alarm/contact calls"
"Pine Warbler","flight call"
"Song Sparrow","nocturnal flight call"
"American Redstart","call"
"Common Tern","flight call"
"Northern Wheatear","buzz call"
"Song Sparrow","contact calls"
"American Yellow Warbler","flight calls and contact calls"
"MacGillivray's Warbler","flight call"
"White-crowned Sparrow","alarm call"
"Spotted Sandpiper","flight call"
"White-crowned Sparrow","call"
"Black-and-white Warbler","nocturnal flight call"
"Least Sandpiper","chatter call"
"Canada Warbler","flight call"
"White-crowned Sparrow","contact calls"
"Least Flycatcher","buzz calls"
"Blue Jay","flight call"
"American Yellow Warbler","nocturnal flight call"
"Red-necked Phalarope","call"
"Orange-crowned Warbler","call"
"Northern Pygmy Owl","call"
"Short-billed Gull","long calls"
"Song Sparrow","song"
"Mourning Warbler","call"
"American Redstart","type a song"
"Golden-crowned Kinglet","flight call"
"American Redstart","vertcial chip"
"American Redstart","descending chip"
"American Yellow Warbler","alarm call"
"Bay-breasted Warbler","nasal call in flight"
"Orange-crowned Warbler","contact calls"
"Black-and-white Warbler","chip"
"Red-necked Phalarope","flock calls"
"Spotted Towhee","high seet calls"
"Song Sparrow","chase call"
"Northern Hawk-Owl","flight call"
"Purple Finch","alarm call"
"Song Sparrow","rolled call"
"Wilson's Warbler","high buzzy calls - ""flight calls""?"
"Short-billed Gull","calls"
"Least Sandpiper","taking off"
"Lewis's Woodpecker","trill"
"White-crowned Sparrow","flight calls (3) given while perched"
"Short-billed Gull","flight call"
"Eastern Towhee","high chip alarm call"
"American Robin","chase calls"
"American Yellow Warbler","chip grading into flight call"
"Common Tern","song"
"Horned Lark","flight call"
"Savannah Sparrow","alarm call"
"Orange-crowned Warbler","fledgling calls and adult contact calls"
"Spotted Sandpiper","nocturnal flight call"
"Pacific Wren","alarm call"
"American Redstart","nocturnal flight call"
"Pileated Woodpecker","flight call"
"LeConte's Sparrow","flight call"
"White-crowned Sparrow","agitation calls"
"Black-and-white Warbler","rattles"
"White-crowned Sparrow","chase calls"
"White-crowned Sparrow","interaction calls"
"Anna's Hummingbird","tik calls in flight"
"American Yellow Warbler","flight calls and burry contact calls"
"Eastern Kingbird","song/calls"
"Hooded Warbler","call"
"LeConte's Sparrow","call"
"Wilson's Warbler","flight call"
"American Yellow Warbler","calls and flight calls"
"Song Sparrow","call"
"Ovenbird","chip"
"White-crowned Sparrow","begging call"
"Short-billed Gull","call"
"Bobolink","flight call"
"Blackpoll Warbler","call"
"Black-and-white Warbler","series of calls"
"Downy Woodpecker","song"
"Anna's Hummingbird","flight call"
"Bobolink","nasal call"
"Sharp-shinned Hawk","drumming"
"American Redstart","chip series"
"Merlin","call"
"Willow Flycatcher","whit' calls"
"Anna's Hummingbird","fledgling calls"
"Song Sparrow","short song"
"Spotted Sandpiper","alarm call"
"Western Tanager","flight call"
"Common Tern","nocturnal flight call"
"Eastern Meadowlark","also dzik and veet calls"
"Black-and-white Warbler","song"
"Common Tern","simple call"
"Red-breasted Nuthatch","flight call"
"American Robin","nocturnal flight call"
"American Woodcock","peent call"
"Downy Woodpecker","call"
"Wood Thrush","nocturnal flight call"
"White-crowned Sparrow","flight calls and contact calls from juveniles"
"Willow Flycatcher","'whit' calls and interaction calls"
"Song Sparrow","flight calls and contact calls"
"Downy Woodpecker","flight call"
"Cape May Warbler","flight call"
"Purple Finch","flight calls and whistled calls"
"Swamp Sparrow","alarm call"
"Purple Finch","whistled calls while perched and flight calls given while perched"
"Least Flycatcher","songs and short buzzy trills"
"Downy Woodpecker","begging call"
"Orange-crowned Warbler","contact call"
"Northern Waterthrush","flight call"
"Red Crossbill","song"
"Least Flycatcher","flight call"
"American Redstart","simple song"
"Marsh Wren","flight call"
"Song Sparrow","buzz calls"
"American Redstart","two types of songs"
"Eastern Bluebird","flight song"
"Bicknell's Thrush","nocturnal flight call"
"Ovenbird","nocturnal flight call"
"Least Flycatcher","flight songs"
"White-crowned Sparrow","nocturnal flight call"
"Song Sparrow","social calls"
"Black-and-white Warbler","flat"
"Chimney Swift","flight call"
"Northern Parula","interaction calls"
"Downy Woodpecker","whinny call"
"Black-backed Woodpecker","pik call"
"Canada Warbler","nocturnal flight call"
"Downy Woodpecker","alarm call"
"American Redstart","intermediate call"
"Black-and-white Warbler","rattle"
"Savannah Sparrow","flight call"
"Wilson's Snipe","alarm call"
"Black Guillemot","song"
"Blue-winged Teal","flight call"
"Black Guillemot","flight call"
"Hermit Thrush","piercing call"
"Purple Finch","flight calls"
"LeConte's Sparrow","call and flight song"
"Pine Warbler","chip"
"Brown Thrasher","flight call"
"Bay-breasted Warbler","alarm call"
"American Yellow Warbler","contact and flight calls"
"Common Redpoll","flight call"
"Canada Warbler","call"
"American Yellow Warbler","adult flight calls and contact calls; fledgling calls"
"Lewis's Woodpecker","short rattle"
"Sanderling","flight call"
"Dark-eyed Junco","flight call"
"White-crowned Sparrow","mixed calls"
"Blackpoll Warbler","flight call"
"Red-winged Blackbird","high seep calls"
"Townsend's Warbler","flight call"
"Eastern Phoebe","alarm call"
"Red-winged Blackbird","interaction calls in flight"
"Golden-crowned Sparrow","flight calls and a few chatter calls"
"Audubon's Warbler","chip call"
"American Robin","kuk call in flight"
"Eastern Kingbird","song"
"Short-eared Owl","nocturnal flight call"
"Cape May Warbler","migratory flight high in the sky"
"Warbling Vireo","flight call"
"Canada Warbler","alarm call"
"Eastern Bluebird","song"
"Red Crossbill","tewp calls"
"American Robin","mobbing calls"
"Townsend's Warbler","contact call"
"Red Crossbill","tewp call"
"Swamp Sparrow","high chip"
"American Yellow Warbler","descending chip"
"Least Flycatcher","flight growls"
"Blackpoll Warbler","alarm call"
"Red-breasted Sapsucker","flight call"
"Red-necked Phalarope","variable chattering"
"Ruby-crowned Kinglet","flight call"
"Red Crossbill","unusual call/song"
"Warbling Vireo","calls (buzzes)"
"White-crowned Sparrow","pink"
"Black-headed Grosbeak","call"
"American Woodcock","chips"
"Arctic Tern","flight call"
"Least Sandpiper","nocturnal flight call"
"Tree Swallow","alarm call"
"Western Kingbird","mating"
"Northern Cardinal","flight call"
"Golden-crowned Kinglet","alarm call"
"Magnolia Warbler","flight call"
"Song Sparrow","contact calls and buzz calls"
"Canada Jay","squeaky calls"
